Season,Club,Expenditure,Arrivals,Income,Departures,Balance,Transfer
18-19,Burnley FC,33.000,7,0.000,8,-33.000,Summer
18-19,Cardiff City,30.750,12,0.000,12,-30.750,Summer
18-19,Watford FC,27.850,28,50.300,16,22.450,Summer
18-19,Crystal Palace,10.700,6,0.000,11,-10.700,Summer
18-19,Tottenham Hotspur,0.000,5,0.000,2,0.000,Summer
18-19,Chelsea FC,71.800,7,17.150,9,-54.650,Winter
18-19,AFC Bournemouth,34.800,5,0.000,4,-34.800,Winter
18-19,Newcastle United,25.150,5,0.500,4,-24.650,Winter
18-19,Wolverhampton Wanderers,20.500,13,17.200,17,-3.300,Winter
18-19,Cardiff City,20.450,6,0.000,8,-20.450,Winter
18-19,Brighton & Hove Albion,13.900,6,4.120,9,-9.780,Winter
18-19,Manchester City,7.400,4,17.000,5,9.600,Winter
18-19,Fulham FC,3.000,5,0.850,3,-2.150,Winter
18-19,Arsenal FC,2.500,2,0.000,1,-2.500,Winter
18-19,Watford FC,2.250,6,1.540,9,-0.710,Winter
18-19,Huddersfield Town,1.700,3,0.800,4,-0.900,Winter
18-19,Crystal Palace,1.150,6,0.350,6,-0.800,Winter
18-19,Everton FC,0.000,2,4.600,7,4.600,Winter
18-19,Liverpool FC,0.000,4,21.200,5,21.200,Winter
18-19,Tottenham Hotspur,0.000,0,5.350,2,5.350,Winter
18-19,Southampton FC,0.000,5,12.400,6,12.400,Winter
18-19,West Ham United,0.000,2,0.500,4,0.500,Winter
18-19,Manchester United,0.000,1,7.200,2,7.200,Winter
18-19,Leicester City,0.000,2,10.000,6,10.000,Winter
18-19,Burnley FC,0.000,3,8.000,3,8.000,Winter
